image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
63,33广东省深圳市翠竹公园_吉祥锦鲤_3.jpg,water park scene,[],pool; blue shade cloth; sky; palm trees,swimming; playing water games,[],[],swimming,[],[],"[{""activity"": ""swimming"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""water park scene"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""pool"",
        ""blue shade cloth"",
        ""sky"",
        ""palm trees""
      ],
      ""human_activities_in_image"": [
        ""swimming"",
        ""playing water games""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""swimming"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
64,33广东省深圳市翠竹公园_噼里啪啦_6.jpg,child on ropes course,[],wooden platform; forest; trees,climbing; taking photo,[],[],ropes course activity,[],[],"[{""activity"": ""ropes course activity"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child on ropes course"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""wooden platform"",
        ""forest"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""climbing"",
        ""taking photo""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""ropes course activity"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
65,33广东省深圳市翠竹公园_噼里啪啦_7.jpg,Man on rope bridge,[],forest; wooden platform; rope bridge,walking; crossing bridge,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Man on rope bridge"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""forest"",
        ""wooden platform"",
        ""rope bridge""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""crossing bridge""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
66,33广东省深圳市翠竹公园_瑶啊摇啊摇_1.jpg,elderly woman walking,[],stone wall; paved path; trees; sky,walking; holding water bottle,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""elderly woman walking"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stone wall"",
        ""paved path"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""holding water bottle""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
67,33广东省深圳市翠竹公园_瑶啊摇啊摇_2.jpg,elderly woman on stone wall,[],stone wall; tree; sky,sitting; posing for photo,[],[],sitting; posing for photo,[],[],"[{""activity"": ""sitting"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""posing for photo"", ""count_estimate"": ""1"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""elderly woman on stone wall"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stone wall"",
        ""tree"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""sitting"",
        ""posing for photo""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""posing for photo"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
68,34深圳市龙岗区龙园_亲亲股太乐_20.jpg,woman in sunflower field,Helianthus annuus,sunflower field; trees; windmill; sky,posing for photo; standing among plants,Helianthus annuus,[],posing for photo,"[{""scientific_name"": ""Helianthus annuus"", ""count_estimate"": ""many"", ""confidence"": 0.95}]",[],"[{""activity"": ""posing for photo"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""woman in sunflower field"",
      ""visible_species_in_image"": [
        ""Helianthus annuus""
      ],
      ""landscape_elements"": [
        ""sunflower field"",
        ""trees"",
        ""windmill"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""posing for photo"",
        ""standing among plants""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Helianthus annuus"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing for photo"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
69,34深圳市龙岗区龙园_亲亲股太乐_7.jpg,Man in hanging swing,[],flower field; trees; grass,sitting; relaxing,unknown,[],sitting,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.65}]",[],"[{""activity"": ""sitting"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Man in hanging swing"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""flower field"",
        ""trees"",
        ""grass""
      ],
      ""human_activities_in_image"": [
        ""sitting"",
        ""relaxing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
70,34深圳市龙岗区龙园_亲亲股太乐_8.jpg,flower field with statues,Cosmos bipinnatus,flower field; buildings; tent; trees; sky,[],Cosmos bipinnatus,[],[],"[{""scientific_name"": ""Cosmos bipinnatus"", ""count_estimate"": ""many"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""flower field with statues"",
      ""visible_species_in_image"": [
        ""Cosmos bipinnatus""
      ],
      ""landscape_elements"": [
        ""flower field"",
        ""buildings"",
        ""tent"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Cosmos bipinnatus"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
71,34深圳市龙岗区龙园_香港暑名演员_12.jpg,Man practicing martial arts,[],temple interior; statue,martial arts practice,[],[],martial arts practice,[],[],"[{""activity"": ""martial arts practice"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Man practicing martial arts"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""temple interior"",
        ""statue""
      ],
      ""human_activities_in_image"": [
        ""martial arts practice""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""martial arts practice"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
72,35深圳市罗湖区人民公园_Vivian小丸子_4.jpg,woman on bridge,[],bridge; sky; clouds; city buildings; railing,posing for photo; standing,[],[],posing,[],[],"[{""activity"": ""posing"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""woman on bridge"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""bridge"",
        ""sky"",
        ""clouds"",
        ""city buildings"",
        ""railing""
      ],
      ""human_activities_in_image"": [
        ""posing for photo"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
73,36深圳市南山区月亮湾公园_何亚艮Gen_9.jpg,Outdoor event line,[],tents; trees; mountains; paved path; benches,queuing; standing; walking,Celosia argentea,[],queuing,"[{""scientific_name"": ""Celosia argentea"", ""count_estimate"": ""large patch"", ""confidence"": 0.95}]",[],"[{""activity"": ""queuing"", ""count_estimate"": ""many"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Outdoor event line"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""tents"",
        ""trees"",
        ""mountains"",
        ""paved path"",
        ""benches""
      ],
      ""human_activities_in_image"": [
        ""queuing"",
        ""standing"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Celosia argentea"",
          ""count_estimate"": ""large patch"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""queuing"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
74,37深圳市龙岗区布吉公园_tt梦幻小妖_1.jpg,Boats on lake with flowering tree,Cercis chinensis,lake; trees; sky,sitting in boats,Cercis chinensis,[],sitting in boats,"[{""scientific_name"": ""Cercis chinensis"", ""count_estimate"": ""1"", ""confidence"": 0.85}]",[],"[{""activity"": ""sitting in boats"", ""count_estimate"": ""multiple"", ""confidence"": 0.92}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Boats on lake with flowering tree"",
      ""visible_species_in_image"": [
        ""Cercis chinensis""
      ],
      ""landscape_elements"": [
        ""lake"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""sitting in boats""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Cercis chinensis"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting in boats"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.92
        }
      ]
    }
  ]
}",True,
75,39深圳市南山区四海公园_zoey_1.jpg,boy by lake,Canna indica,lake; grass; paved path; buildings,standing; looking,Canna indica,[],standing,"[{""scientific_name"": ""Canna indica"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]",[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""boy by lake"",
      ""visible_species_in_image"": [
        ""Canna indica""
      ],
      ""landscape_elements"": [
        ""lake"",
        ""grass"",
        ""paved path"",
        ""buildings""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""looking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Canna indica"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
76,3深圳市盐田区小梅沙海滨乐园_1866129_1.jpg,Decorative display panel,[],paved ground,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Decorative display panel"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved ground""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
77,3深圳市盐田区小梅沙海滨乐园_M24826_7.jpg,group in traditional dress,[],beach; sand; mountains; ocean,standing; posing for photo,[],[],posing for photo,[],[],"[{""activity"": ""posing for photo"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""group in traditional dress"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""beach"",
        ""sand"",
        ""mountains"",
        ""ocean""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""posing for photo""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""posing for photo"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
78,3深圳市盐田区小梅沙海滨乐园_M27loufq_1.jpg,inflatable characters outside,[],paved ground; blue building; trees; sky,standing near inflatable; walking,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""inflatable characters outside"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved ground"",
        ""blue building"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""standing near inflatable"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
79,3深圳市盐田区小梅沙海滨乐园_krawy_2.jpg,flying boat ride,[],sea; sand beach; buildings; mountains,riding flyboard; sitting on jet ski; walking on beach,[],[],riding flyboard; sitting on jet ski; walking on beach,[],[],"[{""activity"": ""riding flyboard"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""sitting on jet ski"", ""count_estimate"": ""1"", ""confidence"": 0.85}, {""activity"": ""walking on beach"", ""count_estimate"": ""multiple"", ""confidence"": 0.75}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""flying boat ride"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""sea"",
        ""sand beach"",
        ""buildings"",
        ""mountains""
      ],
      ""human_activities_in_image"": [
        ""riding flyboard"",
        ""sitting on jet ski"",
        ""walking on beach""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding flyboard"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""sitting on jet ski"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        },
        {
          ""activity"": ""walking on beach"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.75
        }
      ]
    }
  ]
}",True,
80,40深圳市龙华区龙华公园_M23810_1.jpg,breakdancing competition,[],indoor floor; banner,breakdancing; watching performance,[],[],breakdancing; watching,[],[],"[{""activity"": ""breakdancing"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""watching"", ""count_estimate"": ""multiple"", ""confidence"": 0.92}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""breakdancing competition"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""indoor floor"",
        ""banner""
      ],
      ""human_activities_in_image"": [
        ""breakdancing"",
        ""watching performance""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""breakdancing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""watching"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.92
        }
      ]
    }
  ]
}",True,
81,42深圳市南山区大沙河公园_享受生活2013_3.jpg,Rowers on lake,[],lake; trees; grass; bridge,rowing,[],[],rowing,[],[],"[{""activity"": ""rowing"", ""count_estimate"": ""4"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Rowers on lake"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""lake"",
        ""trees"",
        ""grass"",
        ""bridge""
      ],
      ""human_activities_in_image"": [
        ""rowing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""rowing"",
          ""count_estimate"": ""4"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
82,44深圳市宝安区平峦山公园_何亚艮Gen_1.jpg,hiker at rock face,[],rock formation; vegetation; sky,taking photo; standing,unknown,[],taking photo,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.65}]",[],"[{""activity"": ""taking photo"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""hiker at rock face"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rock formation"",
        ""vegetation"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""taking photo"",
        ""standing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""taking photo"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
83,48深圳市石芽岭公园_噼里啪啦_3.jpg,child outdoors,[],path; trees; foliage; stone wall,standing,[],[],standing,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child outdoors"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""path"",
        ""trees"",
        ""foliage"",
        ""stone wall""
      ],
      ""human_activities_in_image"": [
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
84,4深圳市福田区深圳湾公园_DTYYing_3.jpg,people digging sand,[],beach; sand; sky; distant hills,digging in sand; playing,[],[],digging,[],[],"[{""activity"": ""digging"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""people digging sand"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""beach"",
        ""sand"",
        ""sky"",
        ""distant hills""
      ],
      ""human_activities_in_image"": [
        ""digging in sand"",
        ""playing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""digging"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
85,50深圳市南山区荔林公园_mike1010_1.jpg,Person walking up stairs,Bauhinia blakeana,stone staircase; bamboo; hedge; trees,walking,Bauhinia blakeana; Bambusa sp.,[],walking,"[{""scientific_name"": ""Bauhinia blakeana"", ""count_estimate"": ""1"", ""confidence"": 0.85}, {""scientific_name"": ""Bambusa sp."", ""count_estimate"": ""multiple"", ""confidence"": 0.9}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Person walking up stairs"",
      ""visible_species_in_image"": [
        ""Bauhinia blakeana""
      ],
      ""landscape_elements"": [
        ""stone staircase"",
        ""bamboo"",
        ""hedge"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Bauhinia blakeana"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""Bambusa sp."",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.9
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
86,5深圳市罗湖区仙湖植物园_233539_5.jpg,Statue in rose garden,Rosa,garden; statue; pink roses; red roses,[],Rosa,[],[],"[{""scientific_name"": ""Rosa"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Statue in rose garden"",
      ""visible_species_in_image"": [
        ""Rosa""
      ],
      ""landscape_elements"": [
        ""garden"",
        ""statue"",
        ""pink roses"",
        ""red roses""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Rosa"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
87,5深圳市罗湖区仙湖植物园_噼里啪啦_31.jpg,garden scarecrow,Phyllostachys nigra,gravel path; bamboo grove; flower beds; rocks,[],Phyllostachys nigra; unknown flowering plant,[],[],"[{""scientific_name"": ""Phyllostachys nigra"", ""count_estimate"": ""multiple"", ""confidence"": 0.92}, {""scientific_name"": ""unknown flowering plant"", ""count_estimate"": ""several"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""garden scarecrow"",
      ""visible_species_in_image"": [
        ""Phyllostachys nigra""
      ],
      ""landscape_elements"": [
        ""gravel path"",
        ""bamboo grove"",
        ""flower beds"",
        ""rocks""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Phyllostachys nigra"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.92
        },
        {
          ""scientific_name"": ""unknown flowering plant"",
          ""count_estimate"": ""several"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
88,7深圳市龙岗区西涌沙滩_伊礼まさき_1.jpg,people on jet ski,[],beach; ocean; sky; hills,riding jet ski; walking,[],[],riding jet ski; walking,[],[],"[{""activity"": ""riding jet ski"", ""count_estimate"": ""1"", ""confidence"": 0.95}, {""activity"": ""walking"", ""count_estimate"": ""2"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""people on jet ski"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""beach"",
        ""ocean"",
        ""sky"",
        ""hills""
      ],
      ""human_activities_in_image"": [
        ""riding jet ski"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding jet ski"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
89,8深圳市南山区青青世界_300949_9.jpg,boy drinking coconut,[],paved path; umbrella; trees,drinking; sitting,[],[],drinking,[],[],"[{""activity"": ""drinking"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""boy drinking coconut"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved path"",
        ""umbrella"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""drinking"",
        ""sitting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""drinking"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
90,8深圳市南山区青青世界_M251263_3.jpg,child jumping near flowers,Ipomoea cairica,stone wall; pathway; dirt ground; metal fence,jumping; playing,Ipomoea cairica,[],jumping,"[{""scientific_name"": ""Ipomoea cairica"", ""count_estimate"": ""many"", ""confidence"": 0.85}]",[],"[{""activity"": ""jumping"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""child jumping near flowers"",
      ""visible_species_in_image"": [
        ""Ipomoea cairica""
      ],
      ""landscape_elements"": [
        ""stone wall"",
        ""pathway"",
        ""dirt ground"",
        ""metal fence""
      ],
      ""human_activities_in_image"": [
        ""jumping"",
        ""playing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Ipomoea cairica"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""jumping"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
91,8深圳市南山区青青世界_匿名用户3_3.jpg,person pushing cart,[],paved path; wooden post,pushing cart; walking,[],[],pushing cart,[],[],"[{""activity"": ""pushing cart"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""person pushing cart"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved path"",
        ""wooden post""
      ],
      ""human_activities_in_image"": [
        ""pushing cart"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""pushing cart"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
92,8深圳市南山区青青世界_无月轩睿_3.jpg,artwork of girl with lotus,[],[],[],Nelumbo nucifera,[],[],"[{""scientific_name"": ""Nelumbo nucifera"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""artwork of girl with lotus"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Nelumbo nucifera"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
93,8深圳市南山区青青世界_红红火火4982_1.jpg,Child feeding rabbits,Oryctolagus cuniculus,paved path; building; trees; sky,feeding animals; standing,[],Oryctolagus cuniculus,feeding,[],"[{""scientific_name"": ""Oryctolagus cuniculus"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","[{""activity"": ""feeding"", ""count_estimate"": ""1"", ""confidence"": 0.98}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Child feeding rabbits"",
      ""visible_species_in_image"": [
        ""Oryctolagus cuniculus""
      ],
      ""landscape_elements"": [
        ""paved path"",
        ""building"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""feeding animals"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Oryctolagus cuniculus"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": [
        {
          ""activity"": ""feeding"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.98
        }
      ]
    }
  ]
}",True,
94,8深圳市南山区青青世界_绿叶飘零_1.jpg,People on rope bridge,[],rope bridge; waterway; trees; foliage,crossing bridge; posing for photo,unknown,[],walking across bridge,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.85}]",[],"[{""activity"": ""walking across bridge"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""People on rope bridge"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rope bridge"",
        ""waterway"",
        ""trees"",
        ""foliage""
      ],
      ""human_activities_in_image"": [
        ""crossing bridge"",
        ""posing for photo""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking across bridge"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
