image_index,image_filename,image_summary,visible_species_in_image,landscape_elements,human_activities_in_image,plants_detected_names,animals_detected_names,human_activities_detected_labels,plants_detected_raw,animals_detected_raw,human_activities_detected_raw,raw_response,parse_ok,error
140,1天津市蓟州区盘山_1395377_1.jpg,Road with clock tower,[],road; mountains; grass; guardrail; sky,driving; riding scooter,unknown,[],driving; riding scooter,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.45}]",[],"[{""activity"": ""driving"", ""count_estimate"": ""1"", ""confidence"": 0.85}, {""activity"": ""riding scooter"", ""count_estimate"": ""1"", ""confidence"": 0.75}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Road with clock tower"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""road"",
        ""mountains"",
        ""grass"",
        ""guardrail"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""driving"",
        ""riding scooter""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.45
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""driving"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.85
        },
        {
          ""activity"": ""riding scooter"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.75
        }
      ]
    }
  ]
}",True,
141,1天津市蓟州区盘山_1395377_2.jpg,green persimmon fruit,Diospyros kaki,tree branches; leaves,[],Diospyros kaki,[],[],"[{""scientific_name"": ""Diospyros kaki"", ""count_estimate"": ""1"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""green persimmon fruit"",
      ""visible_species_in_image"": [
        ""Diospyros kaki""
      ],
      ""landscape_elements"": [
        ""tree branches"",
        ""leaves""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Diospyros kaki"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
142,1天津市蓟州区盘山_1395377_3.jpg,fruit-laden tree,[],tree; foliage,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""fruit-laden tree"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""tree"",
        ""foliage""
      ],
      ""human_activities_in_image"": []
    }
  ]
}",True,
143,1天津市蓟州区盘山_1395377_4.jpg,Red chili crop,[],garden; soil,[],Capsicum annuum,[],[],"[{""scientific_name"": ""Capsicum annuum"", ""count_estimate"": ""many"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Red chili crop"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""garden"",
        ""soil""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Capsicum annuum"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
144,1天津市蓟州区盘山_1395377_5.jpg,vegetable field,Brassica oleracea,field; soil; sky,[],Brassica oleracea,[],[],"[{""scientific_name"": ""Brassica oleracea"", ""count_estimate"": ""many"", ""confidence"": 0.95}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""vegetable field"",
      ""visible_species_in_image"": [
        ""Brassica oleracea""
      ],
      ""landscape_elements"": [
        ""field"",
        ""soil"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Brassica oleracea"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.95
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
145,1天津市蓟州区盘山_1395377_6.jpg,Pink and green foliage,Parthenocissus quinquefolia,water; foliage,[],Parthenocissus quinquefolia,[],[],"[{""scientific_name"": ""Parthenocissus quinquefolia"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Pink and green foliage"",
      ""visible_species_in_image"": [
        ""Parthenocissus quinquefolia""
      ],
      ""landscape_elements"": [
        ""water"",
        ""foliage""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Parthenocissus quinquefolia"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
146,1天津市蓟州区盘山_1396397_1.jpg,Temple on mountain,[],mountain; sky; temple; steps; trees,walking; visiting,[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Temple on mountain"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountain"",
        ""sky"",
        ""temple"",
        ""steps"",
        ""trees""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""visiting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
147,1天津市蓟州区盘山_1397381_1.jpg,pine tree and pavilion,Pinus tabulaeformis,mountain; pavilion; sky,[],Pinus tabulaeformis,[],[],"[{""scientific_name"": ""Pinus tabulaeformis"", ""count_estimate"": ""many"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""pine tree and pavilion"",
      ""visible_species_in_image"": [
        ""Pinus tabulaeformis""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""pavilion"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabulaeformis"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
148,1天津市蓟州区盘山_1397381_2.jpg,Hazy mountain town at sunset,[],mountains; lake; trees; road; buildings,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Hazy mountain town at sunset"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""lake"",
        ""trees"",
        ""road"",
        ""buildings""
      ],
      ""human_activities_in_image"": []
    }
  ]
}",True,
149,1天津市蓟州区盘山_140jin_1.jpg,ancient stone pagoda,Pinus,pagoda; stone steps; sky; pine trees,standing near structure,Pinus tabuliformis,[],standing,"[{""scientific_name"": ""Pinus tabuliformis"", ""count_estimate"": ""2"", ""confidence"": 0.75}]",[],"[{""activity"": ""standing"", ""count_estimate"": ""1"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""ancient stone pagoda"",
      ""visible_species_in_image"": [
        ""Pinus""
      ],
      ""landscape_elements"": [
        ""pagoda"",
        ""stone steps"",
        ""sky"",
        ""pine trees""
      ],
      ""human_activities_in_image"": [
        ""standing near structure""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabuliformis"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.9
        }
      ]
    }
  ]
}",True,
150,1天津市蓟州区盘山_140jin_2.jpg,Mountain temple view,Pinus tabuliformis,mountains; sky; temple roofs; stone path; trees,[],Pinus tabuliformis,[],[],"[{""scientific_name"": ""Pinus tabuliformis"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain temple view"",
      ""visible_species_in_image"": [
        ""Pinus tabuliformis""
      ],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""temple roofs"",
        ""stone path"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabuliformis"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
151,1天津市蓟州区盘山_140jin_3.jpg,Mountain peak with tower,Pinus species,mountain; tower; sky; rocks,[],Pinus tabuliformis,[],[],"[{""scientific_name"": ""Pinus tabuliformis"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain peak with tower"",
      ""visible_species_in_image"": [
        ""Pinus species""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""tower"",
        ""sky"",
        ""rocks""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabuliformis"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
152,1天津市蓟州区盘山_140jin_4.jpg,misty mountain range,[],mountains; sky; trees,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""misty mountain range"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": []
    }
  ]
}",True,
153,1天津市蓟州区盘山_140jin_5.jpg,mountain landscape,[],mountains; sky; trees,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""mountain landscape"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""trees""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
154,1天津市蓟州区盘山_140jin_6.jpg,Garden waterfall scene,[],waterfall; pond; trees; bushes; rocks; paved path,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Garden waterfall scene"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""waterfall"",
        ""pond"",
        ""trees"",
        ""bushes"",
        ""rocks"",
        ""paved path""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
155,1天津市蓟州区盘山_1501231_1.jpg,Mountain view with buildings,Pinus tabuliformis; Prunus serrulata,mountains; trees; buildings; sky; pathway,[],Pinus tabuliformis; Prunus serrulata,[],[],"[{""scientific_name"": ""Pinus tabuliformis"", ""count_estimate"": ""many"", ""confidence"": 0.85}, {""scientific_name"": ""Prunus serrulata"", ""count_estimate"": ""many"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain view with buildings"",
      ""visible_species_in_image"": [
        ""Pinus tabuliformis"",
        ""Prunus serrulata""
      ],
      ""landscape_elements"": [
        ""mountains"",
        ""trees"",
        ""buildings"",
        ""sky"",
        ""pathway""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus tabuliformis"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""Prunus serrulata"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
156,1天津市蓟州区盘山_1501231_2.jpg,Hikers on stone path,[],stone path; bare trees; sky; stone stupas,walking; hiking,[],[],walking,[],[],"[{""activity"": ""walking"", ""count_estimate"": ""3"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Hikers on stone path"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stone path"",
        ""bare trees"",
        ""sky"",
        ""stone stupas""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""hiking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
157,1天津市蓟州区盘山_1501231_3.jpg,Cat in woods,Felis catus,trees; rocks; pine needles; dry leaves,[],[],Felis catus,[],[],"[{""scientific_name"": ""Felis catus"", ""count_estimate"": ""1"", ""confidence"": 0.95}]",[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Cat in woods"",
      ""visible_species_in_image"": [
        ""Felis catus""
      ],
      ""landscape_elements"": [
        ""trees"",
        ""rocks"",
        ""pine needles"",
        ""dry leaves""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [
        {
          ""scientific_name"": ""Felis catus"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ],
      ""human_activities_detected"": []
    }
  ]
}",True,
158,1天津市蓟州区盘山_1501231_4.jpg,Spring mountain steps,Prunus serrulata,stone steps; mountains; sky; fence,walking; standing,Prunus serrulata,[],walking,"[{""scientific_name"": ""Prunus serrulata"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Spring mountain steps"",
      ""visible_species_in_image"": [
        ""Prunus serrulata""
      ],
      ""landscape_elements"": [
        ""stone steps"",
        ""mountains"",
        ""sky"",
        ""fence""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""standing""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Prunus serrulata"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
159,1天津市蓟州区盘山_1510069_1.jpg,people on paved plaza,[],paved path; plaza,standing; walking,[],[],standing; walking,[],[],"[{""activity"": ""standing"", ""count_estimate"": ""2"", ""confidence"": 0.95}, {""activity"": ""walking"", ""count_estimate"": ""1"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""people on paved plaza"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""paved path"",
        ""plaza""
      ],
      ""human_activities_in_image"": [
        ""standing"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""standing"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.90
        }
      ]
    }
  ]
}",True,
160,1天津市蓟州区盘山_1510069_2.jpg,Stone monument sign,[],hills; trees; stone wall,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Stone monument sign"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""hills"",
        ""trees"",
        ""stone wall""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
161,1天津市蓟州区盘山_1510069_3.jpg,staircase and archway,[],stairs; hills; archway,walking,unknown,[],walking,"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.65}]",[],"[{""activity"": ""walking"", ""count_estimate"": ""3"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""staircase and archway"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stairs"",
        ""hills"",
        ""archway""
      ],
      ""human_activities_in_image"": [
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""walking"",
          ""count_estimate"": ""3"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
162,1天津市蓟州区盘山_1510069_4.jpg,rocky waterfall scene,[],waterfall; rocks; stream,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""rocky waterfall scene"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""waterfall"",
        ""rocks"",
        ""stream""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
163,1天津市蓟州区盘山_1510069_5.jpg,miniature waterfall,Pinus sp.; Viola sororia,waterfall; pond; rocks; trees; bushes,[],Pinus sp.; Viola sororia,[],[],"[{""scientific_name"": ""Pinus sp."", ""count_estimate"": ""multiple"", ""confidence"": 0.95}, {""scientific_name"": ""Viola sororia"", ""count_estimate"": ""few"", ""confidence"": 0.75}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""miniature waterfall"",
      ""visible_species_in_image"": [
        ""Pinus sp."",
        ""Viola sororia""
      ],
      ""landscape_elements"": [
        ""waterfall"",
        ""pond"",
        ""rocks"",
        ""trees"",
        ""bushes""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus sp."",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        },
        {
          ""scientific_name"": ""Viola sororia"",
          ""count_estimate"": ""few"",
          ""confidence"": 0.75
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
164,1天津市蓟州区盘山_1510069_6.jpg,Purple flowers on rocky slope,Campanulastrum americanum,rocky slope; dirt ground; leaves,[],Campanulastrum americanum,[],[],"[{""scientific_name"": ""Campanulastrum americanum"", ""count_estimate"": ""2"", ""confidence"": 0.85}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Purple flowers on rocky slope"",
      ""visible_species_in_image"": [
        ""Campanulastrum americanum""
      ],
      ""landscape_elements"": [
        ""rocky slope"",
        ""dirt ground"",
        ""leaves""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Campanulastrum americanum"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
165,1天津市蓟州区盘山_1510069_7.jpg,cable cars over forest,[],forest; mountain; sky,riding cable car,[],[],riding cable car,[],[],"[{""activity"": ""riding cable car"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""cable cars over forest"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""forest"",
        ""mountain"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""riding cable car""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""riding cable car"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
166,1天津市蓟州区盘山_1510069_8.jpg,Visitor at scenic rock formation,[],rock cliff; waterfall; steam; stone railing,taking photo; standing,[],[],taking photo,[],[],"[{""activity"": ""taking photo"", ""count_estimate"": ""1"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Visitor at scenic rock formation"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""rock cliff"",
        ""waterfall"",
        ""steam"",
        ""stone railing""
      ],
      ""human_activities_in_image"": [
        ""taking photo"",
        ""standing""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""taking photo"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
167,1天津市蓟州区盘山_1510069_9.jpg,Mountain temple with tower,Pinus,mountain; rocks; tower; temple,visiting; walking,Pinus,[],visiting,"[{""scientific_name"": ""Pinus"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}]",[],"[{""activity"": ""visiting"", ""count_estimate"": ""multiple"", ""confidence"": 0.9}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain temple with tower"",
      ""visible_species_in_image"": [
        ""Pinus""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""rocks"",
        ""tower"",
        ""temple""
      ],
      ""human_activities_in_image"": [
        ""visiting"",
        ""walking""
      ],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Pinus"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""visiting"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.9
        }
      ]
    }
  ]
}",True,
168,1天津市蓟州区盘山_1516618_1.jpg,Mountain temple entrance,Prunus serotina; Platanus acerifolia,mountain; sky; paved area; temple building,[],Prunus serotina; Platanus acerifolia,[],[],"[{""scientific_name"": ""Prunus serotina"", ""count_estimate"": ""multiple"", ""confidence"": 0.85}, {""scientific_name"": ""Platanus acerifolia"", ""count_estimate"": ""1"", ""confidence"": 0.72}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain temple entrance"",
      ""visible_species_in_image"": [
        ""Prunus serotina"",
        ""Platanus acerifolia""
      ],
      ""landscape_elements"": [
        ""mountain"",
        ""sky"",
        ""paved area"",
        ""temple building""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""Prunus serotina"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.85
        },
        {
          ""scientific_name"": ""Platanus acerifolia"",
          ""count_estimate"": ""1"",
          ""confidence"": 0.72
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
169,1天津市蓟州区盘山_1516618_2.jpg,traditional archway,[],stairs; mountains; sky,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""traditional archway"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""stairs"",
        ""mountains"",
        ""sky""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
170,1天津市蓟州区盘山_1516618_4.jpg,Chinese archway gate,[],archway; hedges; trees; sky,walking; visiting,[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Chinese archway gate"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""archway"",
        ""hedges"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""walking"",
        ""visiting""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
171,1天津市蓟州区盘山_1529182_1.jpg,Waterfall and rocks,[],waterfall; rocks; stream; trees; sky,sitting on rocks,[],[],sitting,[],[],"[{""activity"": ""sitting"", ""count_estimate"": ""2"", ""confidence"": 0.95}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Waterfall and rocks"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""waterfall"",
        ""rocks"",
        ""stream"",
        ""trees"",
        ""sky""
      ],
      ""human_activities_in_image"": [
        ""sitting on rocks""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""sitting"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.95
        }
      ]
    }
  ]
}",True,
172,1天津市蓟州区盘山_1529182_2.jpg,golden pagoda and trees,Acer ginnala; Quercus,pagoda; trees; sky; stone steps; fence,visiting; photographing; walking,[],[],visiting; photographing,[],[],"[{""activity"": ""visiting"", ""count_estimate"": ""multiple"", ""confidence"": 0.95}, {""activity"": ""photographing"", ""count_estimate"": ""2"", ""confidence"": 0.85}]","{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""golden pagoda and trees"",
      ""visible_species_in_image"": [
        ""Acer ginnala"",
        ""Quercus""
      ],
      ""landscape_elements"": [
        ""pagoda"",
        ""trees"",
        ""sky"",
        ""stone steps"",
        ""fence""
      ],
      ""human_activities_in_image"": [
        ""visiting"",
        ""photographing"",
        ""walking""
      ],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": [
        {
          ""activity"": ""visiting"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.95
        },
        {
          ""activity"": ""photographing"",
          ""count_estimate"": ""2"",
          ""confidence"": 0.85
        }
      ]
    }
  ]
}",True,
173,1天津市蓟州区盘山_1529182_3.jpg,Stone statue in woods,[],trees; sky; grass,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""multiple"", ""confidence"": 0.65}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Stone statue in woods"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""trees"",
        ""sky"",
        ""grass""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""multiple"",
          ""confidence"": 0.65
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
174,1天津市蓟州区盘山_1529182_4.jpg,mountain landscape,[],mountains; sky; rocks; trees,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""mountain landscape"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountains"",
        ""sky"",
        ""rocks"",
        ""trees""
      ],
      ""human_activities_in_image"": []
    }
  ]
}",True,
175,1天津市蓟州区盘山_1582937_1.jpg,temple on hill,[],forest; hill; sky; roof,[],unknown,[],[],"[{""scientific_name"": ""unknown"", ""count_estimate"": ""many"", ""confidence"": 0.5}]",[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""temple on hill"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""forest"",
        ""hill"",
        ""sky"",
        ""roof""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [
        {
          ""scientific_name"": ""unknown"",
          ""count_estimate"": ""many"",
          ""confidence"": 0.5
        }
      ],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
176,1天津市蓟州区盘山_1586403_2.jpg,Mountain peak with temple,[],mountain; sky; trees; temple,[],[],[],[],[],[],[],"{
  ""image_analysis_per_image"": [
    {
      ""image_summary"": ""Mountain peak with temple"",
      ""visible_species_in_image"": [],
      ""landscape_elements"": [
        ""mountain"",
        ""sky"",
        ""trees"",
        ""temple""
      ],
      ""human_activities_in_image"": [],
      ""plants_detected"": [],
      ""animals_detected"": [],
      ""human_activities_detected"": []
    }
  ]
}",True,
